**********************************************************************************************
*                                                                                            *
* Component List (Generic)                                                                   *
*                                                                                            *
* D:\UTENTI\00.LAVORI IN CORSO\METALTRONICA\22-301-0 (SCHEDA SERVIZI 2_02_2024\22-301-0.MAX  *
* Fri Feb 02 15:26:28 2024                                                                   *
*                                                                                            *
**********************************************************************************************

 REF DES    VALUE            PACKAGE          FOOTPRINT                      X LOC      Y LOC      ROTATION
------------------------------------------------------------------------------------------------------------
R53        330R             R                SMD1206                         58.42 mm   172.72 mm 180     
R54        680R             R                SMD0603                         74.30 mm   175.90 mm 180     
R55        2K               R                SMD0603                         66.04 mm   200.03 mm 0       
R56        2K               R                SMD0603                         66.04 mm   181.61 mm 0       
R57        2K               R                SMD0603                         66.04 mm   171.45 mm 0       
R58        2K               R                SMD0603                         66.04 mm   163.20 mm 0       
R59        2K               R                SMD0603                         66.04 mm   187.96 mm 0       
R60        2K               R                SMD0603                         66.04 mm   191.77 mm 0       
R61        3K3              R                SMD0603                         121.29 mm  156.85 mm 90      
R62        3K3              R                SMD0603                         102.24 mm  157.48 mm 90      
R63        330R             R                SMD1206                         58.42 mm   147.32 mm 180     
R64        330R             R                SMD1206                         57.79 mm   157.48 mm 180     
R65        2K2              R                SMD1206                         123.83 mm  156.21 mm 90      
R66        2K2              R                SMD1206                         118.75 mm  156.21 mm 90      
R67        680R             R                SMD0603                         123.83 mm  169.55 mm 90      
R68        680R             R                SMD0603                         118.11 mm  169.55 mm 90      
R69        3K3              R                SMD0603                         131.45 mm  156.85 mm 90      
R70        3K3              R                SMD0603                         126.37 mm  156.85 mm 90      
R71        2K2              R                SMD1206                         134.62 mm  156.21 mm 90      
R72        680R             R                SMD0603                         134.62 mm  169.55 mm 90      
R73        2K2              R                SMD1206                         128.91 mm  156.21 mm 90      
R74        680R             R                SMD0603                         128.91 mm  169.55 mm 90      
R75        2K2              R                SMD1206                         146.05 mm  138.43 mm 270     
R76        2K2              R                SMD1206                         142.88 mm  138.43 mm 270     
R77        10K              R                SMD0603                         139.70 mm  169.55 mm 270     
R78        2K2              R                SMD1206                         159.39 mm  156.21 mm 90      
R79        2K2              R                SMD1206                         162.56 mm  156.21 mm 90      
R80        680R             R                SMD0603                         162.56 mm  169.55 mm 90      
R81        1K               R                SMD0603                         13.34 mm   125.10 mm 270     
R82        1K               R                SMD0603                         22.23 mm   125.73 mm 270     
R83        1K               R                SMD0603                         24.13 mm   114.30 mm 270     
R84        10K              R                SMD0603                         13.34 mm   121.92 mm 270     
R85        10K              R                SMD0603                         20.32 mm   125.73 mm 90      
